#{"t_start": 1643023854.2028165, "env_id": "MountainCarContinuous-v0"}
r,l,t
8.424891,1000,1.670925
-48.832701,1000,3.306902
-108.921177,1000,4.908202
-108.803298,1000,6.50412
58.394153,1000,8.110018
-101.243661,1000,9.696802
57.571024,1000,11.410336
111.628869,1000,13.042215
54.56644,1000,14.640256
-118.031422,1000,16.235503
-90.783153,1000,113.030868
-1250.793805,1000,249.027823
-85.853312,1000,386.587281
296.998431,1000,525.24394
664.13928,1000,664.004008
328.183096,1000,798.204836
648.34593,1000,892.437955
-1909.196649,1000,986.493655
933.724465,1000,1092.674721
544.269334,1000,1186.787091
560.817541,1000,1287.370831
132.023522,1000,1381.280905
34.272767,1000,1502.823296
521.425963,1000,1641.91421
988.72284,1000,1781.11848
-710.018077,1000,1919.680375
-381.64279,1000,2031.533808
-581.743044,1000,2126.448169
244.798,1000,2221.287179
268.175268,1000,2316.034479
319.808524,1000,2417.368259
899.708488,1000,2512.570529
973.720743,1000,2629.690406
1614.441548,1000,2725.670255
1203.851599,1000,2821.396082
15.893144,1000,2917.072355
371.938021,1000,3013.290412
1422.319388,1000,3109.60999
1827.407332,1000,3206.032451
1433.17373,1000,3302.332368
-97.772977,1000,3435.638741
602.956647,1000,3538.069336
1040.506984,1000,3678.780998
397.589442,1000,3820.031775
1319.815653,1000,3953.776285
148.851967,1000,4050.822232
-453.050255,1000,4159.329887
-313.848531,1000,4299.933406
446.427523,1000,4440.778287
1861.995184,1000,4581.169648
1627.968912,1000,4698.994445
1879.947371,1000,4795.914424
1113.044385,1000,4893.220291
619.864344,1000,4990.73272
665.124911,1000,5088.237498
1143.938067,1000,5185.888376
1919.630251,1000,5283.833035
2004.965592,1000,5381.920583
997.494534,1000,5479.990882
1332.944477,1000,5578.489988
1408.973312,1000,5684.303692
-222.793007,1000,5784.059476
1068.74312,1000,5884.543067
1686.198245,1000,5985.208602
1412.658849,1000,6087.321472
1451.604819,1000,6190.271332
1571.463899,1000,6343.677176
337.313034,1000,6498.294721
514.228489,1000,6654.803441
620.965474,1000,6796.963457
1056.951371,1000,6963.972884
1633.273993,1000,7126.101997
1726.926245,1000,7268.645327
1688.426786,1000,7391.411574
1699.751042,1000,7507.002339
1832.495856,1000,7623.278107
1222.429071,1000,7740.203294
1203.700214,1000,7857.856614
1815.6041,1000,7976.158154
1896.928375,1000,8094.723102
1583.039479,1000,8219.596333
1431.478402,1000,8380.393384
1944.702067,1000,8545.339977
2014.455749,1000,8710.596152
1571.409781,1000,8876.28871
2029.617399,1000,9040.279156
1673.091061,1000,9161.356963
1776.385369,1000,9282.25841
1263.022211,1000,9403.082088
524.159896,1000,9524.241923
1762.601026,1000,9697.694806
1961.80508,1000,9864.957747
1364.590164,1000,10011.039717
1841.366978,1000,10132.942126
1514.939639,1000,10255.702171
939.938687,1000,10377.949198
2026.368905,1000,10503.310183
2086.431265,1000,10630.774893
2091.642061,1000,10763.365792
2100.490348,1000,10917.124269
1591.058539,1000,11068.462492
2132.067841,1000,11222.518175
2086.997814,1000,11373.742838
1738.795751,1000,11498.318756
1288.074274,1000,11623.073122
1986.201852,1000,11747.234472
