#{"t_start": 1643023854.2148867, "env_id": "MountainCarContinuous-v0"}
r,l,t
8.424891,1000,0.941935
-48.832701,1000,1.857177
-108.921177,1000,2.77317
-108.803298,1000,3.694434
58.394153,1000,4.608084
-101.243661,1000,5.548039
57.571024,1000,6.46708
111.628869,1000,7.370787
54.56644,1000,8.345943
-118.031422,1000,9.269792
163.958786,1000,100.105025
906.343421,1000,197.853909
991.700626,1000,336.477252
90.845646,1000,460.279447
-98.467085,1000,555.500547
-79.409219,1000,651.322532
523.189896,1000,747.898819
-2271.307542,1000,847.186809
557.389056,1000,973.072799
1284.731309,1000,1092.424854
-1041.733119,1000,1244.785416
-654.604986,1000,1387.410111
733.49975,1000,1485.545938
717.940809,1000,1625.263046
213.860731,1000,1766.913396
138.627359,1000,1908.404043
1026.765321,1000,2026.842988
-3454.102221,1000,2125.028629
185.533059,1000,2223.787912
1013.372756,1000,2322.400999
598.138347,1000,2427.72302
1227.937164,1000,2552.924418
-57.419083,1000,2652.617947
402.815579,1000,2751.518139
619.045915,1000,2850.719155
870.499831,1000,2949.957721
1166.367315,1000,3049.060974
2061.924263,1000,3148.307215
987.824938,1000,3247.342406
1637.926854,1000,3359.112012
2012.753587,1000,3463.579614
992.823987,1000,3562.388643
1144.54407,1000,3660.685825
1435.180802,1000,3759.311668
1369.340998,1000,3857.76349
1570.001855,1000,3956.361558
1613.241984,1000,4055.095543
1701.604585,1000,4167.420197
351.814283,1000,4310.395374
2139.233521,1000,4453.888686
-1213.658338,1000,4605.559987
1773.537943,1000,4712.512958
775.351328,1000,4856.680648
-104.383038,1000,5001.698722
2114.255374,1000,5146.485526
1380.61334,1000,5291.642346
1567.694645,1000,5436.978517
-2022.752712,1000,5582.692726
403.256061,1000,5728.94833
1736.537559,1000,5875.133162
907.520574,1000,6032.197493
1722.978655,1000,6180.220264
1631.483947,1000,6286.193971
2092.431668,1000,6389.833333
1075.971995,1000,6494.897838
449.627953,1000,6601.299645
1030.682359,1000,6708.952043
719.109742,1000,6818.267317
-285.914962,1000,6928.860098
1036.139937,1000,7041.250389
2064.755467,1000,7161.033767
952.930674,1000,7298.384588
1609.792743,1000,7462.976971
1086.138184,1000,7631.43518
947.463317,1000,7763.514571
428.597173,1000,7882.303751
1680.075122,1000,8001.968658
2071.179921,1000,8122.367718
1431.858976,1000,8248.112051
1223.944863,1000,8414.537899
1285.850075,1000,8589.827102
1806.409354,1000,8756.980695
1329.471581,1000,8924.302291
1600.468916,1000,9076.860291
960.444319,1000,9199.948659
1496.24037,1000,9323.914039
1691.47149,1000,9447.565063
1268.878356,1000,9604.319491
1784.77685,1000,9774.55386
1387.762248,1000,9945.04245
1062.986724,1000,10125.986493
1905.816831,1000,10297.330009
1539.800372,1000,10466.957948
1779.469651,1000,10639.49241
1428.644453,1000,10794.669166
1462.357795,1000,10941.477744
1494.14413,1000,11089.067604
1586.215375,1000,11241.584105
1738.625362,1000,11388.034961
1124.36691,1000,11561.3429
952.967347,1000,11694.397236
