#{"t_start": 1643023854.2149987, "env_id": "MountainCarContinuous-v0"}
r,l,t
8.424891,1000,1.078741
-48.832701,1000,2.021064
-108.921177,1000,2.944127
-108.803298,1000,3.879257
58.394153,1000,4.79052
-101.243661,1000,5.719417
57.571024,1000,6.667525
111.628869,1000,7.631333
54.56644,1000,8.534849
-118.031422,1000,9.444198
283.332283,1000,92.916363
703.03747,1000,289.807559
878.70348,1000,621.363948
1.998789,1000,980.067239
326.20645,1000,1296.7087
-119.323927,1000,1619.603241
210.750442,1000,1921.541859
-544.093564,1000,2208.800789
91.189814,1000,2497.123393
304.816544,1000,2617.545051
-245.982132,1000,2748.073817
-246.688904,1000,2872.534658
402.861282,1000,2996.867154
172.685837,1000,3121.465806
-69.736336,1000,3245.683333
-304.042839,1000,3336.370258
421.898434,1000,3420.793024
-507.900554,1000,3504.659662
-129.491132,1000,3592.568158
196.99719,1000,3677.191841
17.364999,1000,3767.863522
147.936912,1000,3852.864411
-179.557222,1000,3937.704744
-70.574634,1000,4061.519659
49.788427,1000,4165.936289
-63.520714,1000,4250.986636
62.776894,1000,4336.223462
-229.769308,1000,4421.61924
286.886422,1000,4507.14605
146.232502,1000,4594.29846
-115.989084,1000,4685.693707
-0.522979,1000,4771.142895
318.734508,1000,4855.977858
89.103349,1000,4940.950899
74.27564,1000,5025.542011
136.898292,1000,5110.461876
146.850462,1000,5195.675751
206.026359,1000,5280.72556
-190.978724,1000,5365.846866
-89.24821,1000,5451.090291
-434.690988,1000,5543.614917
91.868614,1000,5629.168344
-20.282852,1000,5714.873693
-326.536114,1000,5800.636016
-36.593608,1000,5886.636896
-32.402875,1000,5972.837084
26.070506,1000,6059.449763
-437.192963,1000,6145.938882
-240.938777,1000,6251.205199
96.523113,1000,6375.997695
8.047279,1000,6510.119259
78.19185,1000,6635.047524
157.188556,1000,6760.84825
-13.028157,1000,6888.387401
127.546937,1000,7015.629181
-190.27999,1000,7144.031665
32.861088,1000,7257.212161
-122.853487,1000,7369.685447
-374.20438,1000,7500.676431
-303.808086,1000,7631.965557
15.075505,1000,7749.787489
-61.951835,1000,7846.11157
59.891503,1000,7943.254141
63.373348,1000,8040.960027
-239.834652,1000,8138.56249
-238.601353,1000,8236.540752
36.052846,1000,8335.400285
28.656391,1000,8433.939419
-174.260979,1000,8532.70081
72.251301,1000,8631.699655
109.039993,1000,8737.136045
68.532368,1000,8836.917279
174.912944,1000,8936.183218
-131.704886,1000,9035.439484
-78.988964,1000,9135.147809
-85.658026,1000,9234.666804
-41.818029,1000,9334.335199
-213.743098,1000,9434.735796
71.122853,1000,9546.807657
175.091187,1000,9646.946662
-48.882973,1000,9753.057594
-0.638527,1000,9853.356333
0.707592,1000,9953.447054
95.491894,1000,10054.038506
-180.506782,1000,10154.546226
-21.716214,1000,10255.551131
-27.172757,1000,10356.081151
27.477416,1000,10456.677214
11.246863,1000,10571.077171
-41.891818,1000,10674.049366
-43.285613,1000,10807.203535
3.641084,1000,10929.651713
30.664303,1000,11062.822152
133.539639,1000,11192.420209
76.627054,1000,11313.739985
-157.766351,1000,11446.238573
-23.488573,1000,11585.997488
109.386151,1000,11726.679422
