#{"t_start": 1643023854.2100246, "env_id": "MountainCarContinuous-v0"}
r,l,t
8.424891,1000,0.952139
-48.832701,1000,1.875489
-108.921177,1000,2.777689
-108.803298,1000,3.696448
58.394153,1000,4.608433
-101.243661,1000,5.512458
57.571024,1000,6.438426
111.628869,1000,7.340626
54.56644,1000,8.24351
-118.031422,1000,9.161854
185.517027,1000,136.034307
781.917071,1000,240.682708
777.607649,1000,331.131963
142.07944,1000,421.792815
-18.018948,1000,513.304627
-91.153486,1000,604.979166
4.04078,1000,697.390401
-934.168906,1000,790.979323
437.219123,1000,893.599956
1043.471159,1000,986.417373
-564.78696,1000,1124.958486
-680.048371,1000,1217.574954
532.131582,1000,1310.434753
713.922737,1000,1403.694257
238.23167,1000,1497.136477
943.486997,1000,1590.61874
958.56731,1000,1684.853017
-984.293618,1000,1779.252763
70.582463,1000,1873.307521
1023.219801,1000,1967.243738
582.108642,1000,2111.349372
1120.274237,1000,2249.471546
203.299238,1000,2352.426106
529.240134,1000,2446.656431
873.264819,1000,2568.787786
544.025147,1000,2663.276176
1079.344938,1000,2757.672891
595.874225,1000,2852.267968
954.134786,1000,2947.086023
1341.152781,1000,3041.541447
1403.82928,1000,3142.445732
1199.367334,1000,3236.963607
1169.724033,1000,3345.313373
1407.949224,1000,3456.053715
1014.840824,1000,3567.180309
1254.921875,1000,3662.141612
1588.354851,1000,3757.396407
1652.922102,1000,3852.650853
295.114494,1000,3952.856485
1909.252365,1000,4095.54377
-982.714742,1000,4207.62082
1247.005799,1000,4303.388041
1035.416871,1000,4399.169866
-319.702876,1000,4495.044852
1900.190314,1000,4592.4929
1137.415824,1000,4714.861072
1336.958852,1000,4811.074433
-379.931515,1000,4907.406572
302.779017,1000,5004.276788
1708.49386,1000,5101.546556
1205.22667,1000,5205.503808
1520.454075,1000,5303.87397
1543.443848,1000,5402.845751
1919.462402,1000,5502.963106
1247.95862,1000,5604.291586
561.279039,1000,5706.849361
1301.174431,1000,5810.78146
967.460562,1000,5916.192611
581.239818,1000,6023.203534
884.475364,1000,6131.627285
1910.204762,1000,6247.677057
1094.027268,1000,6358.8749
1765.56409,1000,6471.260803
1408.428753,1000,6584.641212
720.543607,1000,6699.483763
1047.644164,1000,6814.918634
1693.642645,1000,6930.80986
1932.645621,1000,7047.078208
1278.437082,1000,7164.113041
1497.981355,1000,7294.660434
1572.660695,1000,7419.486833
1755.53038,1000,7538.088176
1630.595822,1000,7656.803422
1250.908226,1000,7810.176731
1351.165412,1000,7976.06443
1454.898646,1000,8141.731156
1526.776372,1000,8286.697907
1284.983277,1000,8407.552537
1837.206289,1000,8528.786004
1686.827879,1000,8649.764774
1542.885675,1000,8777.097819
1773.905396,1000,8898.297097
1739.768319,1000,9019.760129
1823.486938,1000,9180.82065
1565.132426,1000,9348.86239
1659.538142,1000,9508.682373
1737.677797,1000,9630.637286
1852.189865,1000,9752.672134
1645.23516,1000,9875.213634
1763.835231,1000,9997.707809
1206.038327,1000,10145.428629
1909.83833,1000,10287.302716
1931.461689,1000,10410.10916
1719.906655,1000,10537.558538
1808.779312,1000,10664.053
1193.932355,1000,10811.832773
1795.992229,1000,10972.88279
1916.687037,1000,11120.899789
1680.388445,1000,11274.021752
1738.140965,1000,11426.817128
1867.865115,1000,11556.377481
1944.521808,1000,11679.699428
1347.24545,1000,11805.728483
